gen_name,bus_id,bus_name,lat,lon,capacity_mw,bus_voltage_kv,source,state
generator-316192-3275227880,316192,AB2-158 GEN_316192,38.015735,-78.043131,88.2,230.0,EI_EIA2PF,VA
generator-316197-8750003845,316197,AC1-042 GEN_316197,36.942634,-79.192804,42,0.39,EI_EIA2PF,VA
generator-316214-9705067520,316214,AC1-145 MAIN,36.817763,-79.23328,60,69.0,EIA_MMWG_FUZZY,VA
generator-316217-6384066125,316217,AC1-145 GEN_316217,36.931378,-79.358743,50,0.6,EI_EIA2PF,VA
generator-316223-6474024461,316223,AC1-118_316223,38.077,-76.786,20,230.0,EI_EIA2PF,VA
generator-316223-9969987622,316223,AC1-118,38.093,-76.799,2,230.0,EIA_MMWG_EXACT,VA
generator-316236-6415834073,316236,AE1-162_GEN_316236,36.89,-76.71,20,230.0,EI_EIA2PF,VA
generator-316246-7259550062,316246,AF1-032 C_316246,36.660483,-76.56093,15,230.0,EI_EIA2PF,VA
generator-316248-8301005498,316248,AF1-058 C_316248,36.681547,-78.885955,20,115.0,EI_EIA2PF,VA
generator-316257-6740011724,316257,AC1-043 C_316257,38.427261,-77.907868,100,115.0,EI_EIA2PF,VA
generator-316258-3662438985,316258,AE1-075 C_316258,37.567,-77.9271,18,230.0,EI_EIA2PF,VA
generator-316280-8071142921,316280,AD1-041 GEN_316280,37.56189,-76.605373,54.9,0.55,EI_EIA2PF,VA
generator-316290-7798091821,316290,AC1-161 MAIN,37.017425,-76.743986,208.2,500.0,EIA_MMWG_FUZZY,VA
generator-316305-3549184420,316305,AF2-043 C_316305,36.692197,-76.578558,20,230.0,EI_EIA2PF,VA
generator-316312-8210132616,316312,AB1-027_316312,37.665975,-77.207725,25,230.0,EI_EIA2PF,VA
generator-316313-2869180798,316313,AB2-026_316313,37.523,-77.934,17,230.0,EI_EIA2PF,VA
generator-316314-8360268995,316314,AB2-024 C_316314,37.49004,-77.061597,20,230.0,EI_EIA2PF,VA
generator-316316-3590787883,316316,AC1-027 C_316316,36.789753,-76.051419,17.6,115.0,EI_EIA2PF,VA
generator-316322-3511368108,316322,AB2-045_316322,37.5064,-78.381,20,230.0,EI_EIA2PF,VA
generator-316322-2680134026,316322,AB2-045,37.5,-78.5,74.9,230.0,EIA_MMWG_FUZZY,VA
generator-316322-2879465828,316322,AB2-045,37.72839,-78.451875,149.5,230.0,EIA_MMWG_FUZZY,VA
generator-316332-6092777586,316332,AE1-084 COL1_316332,38.0249,-79.0335,3,34.5,EIA_MMWG_FUZZY,VA
generator-316337-7306396593,316337,AD2-073 GEN_316337,38.007488,-76.744034,19.9,230.0,EI_EIA2PF,VA
generator-316369-8555658564,316369,AC1-216 GEN_316369,37.173916,-76.919245,97.9,34.5,EI_EIA2PF,VA
generator-316375-8829378389,316375,AC2-012 GEN_316375,36.685103,-76.29661,132,0.6,EI_EIA2PF,VA
generator-316381-4846725167,316381,AD1-082 GEN_316381,37.020784,-77.12265,118,0.55,EI_EIA2PF,VA
generator-316382-502448491,316382,AG1-145 C_316382,37.365615,-76.775123,20,230.0,EI_EIA2PF,VA
generator-324385-2826634298,324385,2BIG STONE G,36.932469,-82.676901,20,69.0,EIA_MMWG_FUZZY,VA
generator-324663-5686672643,324663,2NORTON EAST_324663,36.99716,-82.526623,3,69.0,EIA_MMWG_FUZZY,VA
